poisonous,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,label,poisonous_readable,cap_shape_readable,cap_surface_readable,cap_color_readable,bruises_readable,odor_readable,gill_attachment_readable,gill_spacing_readable,gill_size_readable,gill_color_readable,stalk_shape_readable,stalk_root_readable,stalk_surface_above_ring_readable,stalk_surface_below_ring_readable,stalk_color_above_ring_readable,stalk_color_below_ring_readable,veil_type_readable,veil_color_readable,ring_number_readable,ring_type_readable,spore_print_color_readable,population_readable,habitat_readable,label_num,has_stalk_root,odor_freq,odor_poison_rate,cap_shape_surface,odor_capcolor,gill_is_buff,gill_is_pink,gill_is_white,gill_is_brown,gill_is_gray,gill_is_chocolate,gill_is_purple,gill_is_black,gill_is_red,gill_is_yellow,gill_is_orange,gill_is_green,cap_shape_surface_te,odor_capcolor_te,cap_shape_surface_te_full,odor_capcolor_te_full
p,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,poisonous,poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,urban,1,1,256,1.0,convex_smooth,pungent|brown,0,0,0,0,0,0,0,1,0,0,0,0,0.5406644,1.0,0.5512104,1.0
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,edible,edible,convex,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses,0,1,400,0.0,convex_smooth,almond|yellow,0,0,0,0,0,0,0,1,0,0,0,0,0.56395346,0.0,0.5512104,0.0
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,edible,edible,bell,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows,0,1,400,0.0,bell_smooth,anise|white,0,0,0,1,0,0,0,0,0,0,0,0,0.068627454,0.0,0.07377049,0.0
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,poisonous,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,urban,1,1,256,1.0,convex_scaly,pungent|white,0,0,0,1,0,0,0,0,0,0,0,0,0.48287973,1.0,0.48663855,1.0
e,x,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,edible,edible,convex,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,0,1,3528,0.034013607,convex_smooth,none|gray,0,0,0,0,0,0,0,1,0,0,0,0,0.56395346,0.0,0.5512104,0.0
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,edible,edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,grasses,0,1,400,0.0,convex_scaly,almond|yellow,0,0,0,1,0,0,0,0,0,0,0,0,0.48287973,0.0,0.48663855,0.0
e,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,edible,edible,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows,0,1,400,0.0,bell_smooth,almond|white,0,0,0,0,1,0,0,0,0,0,0,0,0.09139785,0.0,0.07377049,0.0
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,edible,edible,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows,0,1,400,0.0,bell_scaly,anise|white,0,0,0,1,0,0,0,0,0,0,0,0,0.14516129,0.0,0.16129032,0.0
p,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,poisonous,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,grasses,1,1,256,1.0,convex_scaly,pungent|white,0,1,0,0,0,0,0,0,0,0,0,0,0.486786,1.0,0.48663855,1.0
e,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,edible,edible,bell,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows,0,1,400,0.0,bell_smooth,almond|yellow,0,0,0,0,1,0,0,0,0,0,0,0,0.068627454,0.0,0.07377049,0.0
